scenario,vol,p1,p2,path,seed,estimator,j,theta_hat,n1,n2
heston_lm_high,heston,0.25,0.75,1,219539716,HK_HY_non_sync,8,-29.0,1534,514
heston_lm_high,heston,0.25,0.75,1,219539716,previous_tick_interpolated,1,2.0,2049,2049
heston_lm_high,heston,0.25,0.75,1,219539716,previous_tick_interpolated,2,17.0,2049,2049
heston_lm_high,heston,0.25,0.75,1,219539716,previous_tick_interpolated,3,0.0,2049,2049
heston_lm_high,heston,0.25,0.75,1,219539716,previous_tick_interpolated,4,-1.0,2049,2049
heston_lm_high,heston,0.25,0.75,1,219539716,previous_tick_interpolated,5,1.0,2049,2049
heston_lm_high,heston,0.25,0.75,1,219539716,previous_tick_interpolated,6,-1.0,2049,2049
heston_lm_high,heston,0.25,0.75,1,219539716,previous_tick_interpolated,7,2.0,2049,2049
heston_lm_high,heston,0.25,0.75,1,219539716,previous_tick_interpolated,8,-20.0,2049,2049
heston_lm_high,heston,0.25,0.75,2,1599278428,HK_HY_non_sync,1,-12.0,1522,496
heston_lm_high,heston,0.25,0.75,2,1599278428,HK_HY_non_sync,2,97.0,1522,496
heston_lm_high,heston,0.25,0.75,2,1599278428,HK_HY_non_sync,3,-13.0,1522,496
heston_lm_high,heston,0.25,0.75,2,1599278428,HK_HY_non_sync,4,3.0,1522,496
heston_lm_high,heston,0.25,0.75,2,1599278428,HK_HY_non_sync,5,29.0,1522,496
heston_lm_high,heston,0.25,0.75,2,1599278428,HK_HY_non_sync,6,-2.0,1522,496
heston_lm_high,heston,0.25,0.75,2,1599278428,HK_HY_non_sync,7,-4.0,1522,496
heston_lm_high,heston,0.25,0.75,2,1599278428,HK_HY_non_sync,8,-94.0,1522,496
heston_lm_high,heston,0.25,0.75,2,1599278428,previous_tick_interpolated,1,-12.0,2049,2049
heston_lm_high,heston,0.25,0.75,2,1599278428,previous_tick_interpolated,2,-36.0,2049,2049
heston_lm_high,heston,0.25,0.75,2,1599278428,previous_tick_interpolated,3,-14.0,2049,2049
